name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Only Girl (In The World),Loud,Rihanna,2010-11-16,235493,72,0.789,0.129,0.789,0.716,1.07E-05,0.069,-4.241,0.0432,125.906,4
Ridin' Solo,Jason Derulo (International),Jason Derulo,2010-02-26,215746,66,0.442,0.128,0.442,0.83,0,0.129,-4.02,0.146,89.338,4
Break Your Heart,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,201546,71,0.607,0.0327,0.607,0.934,0,0.0909,-4.217,0.0314,122.01,4
Fireflies,Ocean Eyes,Owl City,2009-01-01,228346,78,0.512,0.0275,0.512,0.662,0,0.118,-6.797,0.0439,180.114,4
Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,71,0.523,0.512,0.523,0.606,0,0.106,-4.754,0.0301,145.837,4
Empire State Of Mind,The Blueprint 3,JAY-Z,2009-09-08,276920,79,0.491,0.0295,0.491,0.956,0,0.46,-1.538,0.392,173.585,4
Do You Remember,All Or Nothing,Jay Sean,2009-01-01,210306,68,0.855,0.0242,0.855,0.668,0,0.102,-4.892,0.0644,125.846,4
In My Head,Jason Derulo (International),Jason Derulo,2010-02-26,199026,67,0.762,0.0266,0.762,0.748,0,0.348,-4.15,0.033,110.009,4
Memories (feat. Kid Cudi),One More Love,David Guetta,2010-11-22,210853,76,0.546,0.00144,0.546,0.916,4.34E-06,0.251,-3.932,0.255,129.983,4
Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1),Flo Rida,2010-11-24,234560,73,0.616,0.0283,0.616,0.869,0,0.064,-3.911,0.0327,127.966,4
What's My Name?,Loud,Rihanna,2010-11-16,263173,67,0.692,0.23,0.692,0.786,0,0.0797,-2.959,0.069,100.025,4
Your Love Is My Drug,Animal (Expanded Edition),Kesha,2010-01-01,187133,67,0.826,0.00681,0.826,0.612,0,0.0889,-3.891,0.0982,120.057,4
Just A Dream,5,Nelly,2010-11-12,237800,72,0.531,0.0421,0.531,0.752,0,0.12,-6.161,0.0305,89.917,4
Impossible,No Gravity,Shontelle,2010-01-01,226533,67,0.599,0.385,0.599,0.624,0,0.125,-3.631,0.0343,90.034,4
Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure",Trey Songz,2010-09-13,242013,40,0.845,0.0205,0.845,0.601,0,0.385,-5.283,0.161,74.008,4
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,2009-01-01,289133,79,0.743,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,127.96,4
Rude Boy,Rated R,Rihanna,2009-11-20,222920,73,0.563,0.113,0.563,0.75,0,0.0788,-4.496,0.127,173.906,4
BedRock,We Are Young Money,Young Money,2009-01-01,288133,71,0.733,0.102,0.733,0.664,0,0.191,-6.163,0.295,148.005,4
Forget You,The Lady Killer (Deluxe),CeeLo Green,2010-11-09,222733,56,0.696,0.134,0.696,0.875,0,0.159,-3.682,0.0649,127.39,4
Take It Off,Animal (Expanded Edition),Kesha,2010-01-01,215200,68,0.729,4.14E-05,0.729,0.675,0.00126,0.0867,-5.292,0.0286,125.036,4
Back To December,Speak Now,Taylor Swift,2010-10-25,293026,63,0.529,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,4
OMG (feat. will.i.am),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,269493,70,0.781,0.198,0.781,0.745,1.14E-05,0.36,-5.81,0.0332,129.998,4
Animal,Habits (Spotify),Neon Trees,2010,212306,64,0.482,0.00034,0.482,0.829,0,0.378,-5.576,0.0437,147.99,4
Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010-04-27,196133,65,0.549,0.0127,0.549,0.932,0,0.347,-4.11,0.343,82.439,4
Higher,Headlines,The Saturdays,2010-01-01,207613,56,0.639,0.049,0.639,0.862,6.81E-06,0.264,-3.292,0.0341,117.011,4
Telephone,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,220640,68,0.824,0.00521,0.824,0.836,0.000817,0.112,-5.903,0.0404,122.014,4
Firework,Teenage Dream,Katy Perry,2010-08-24,227893,69,0.638,0.141,0.638,0.832,0,0.113,-5.039,0.049,124.071,4
My First Kiss (feat. Ke$ha),Streets Of Gold,3OH!3,2010-06-25,192440,62,0.682,0.00564,0.682,0.889,0,0.36,-4.166,0.0804,138.021,4
All Time Low,The Wanted,The Wanted,2010-01-01,205200,53,0.689,0.352,0.689,0.615,0,0.0789,-5.022,0.0563,134.036,4
I Like It,Euphoria,Enrique Iglesias,2010,231373,61,0.648,0.021,0.648,0.942,0,0.0594,-2.881,0.0878,129.007,4
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010-09-06,263773,58,0.76,0.00544,0.76,0.595,0,0.241,-6.366,0.0391,131.497,4
If I Die Young,The Band Perry,The Band Perry,2010,222773,62,0.606,0.348,0.606,0.497,0,0.275,-6.611,0.0277,130.739,4
Teach Me How to Dougie,The Kickback,Cali Swag District,2011-07-12,237480,68,0.846,0.2,0.846,0.438,9.43E-05,0.0939,-4.981,0.141,85.013,4
Don't Stop Believin' (Glee Cast Version),"Glee: The Music, Volume 1",Glee Cast,2009-11-02,232000,62,0.473,0.0376,0.473,0.604,0,0.103,-4.034,0.0337,123.848,4
If We Ever Meet Again (Featuring Katy Perry),Shock Value II,Timbaland,2009-01-01,292706,64,0.652,0.00481,0.652,0.605,0,0.0605,-7.371,0.0393,126.091,4
Can't Be Tamed,Can't Be Tamed,Miley Cyrus,2010-01-01,168213,0,0.63,0.0287,0.63,0.91,0,0.196,-2.919,0.144,116.98,4
Deuces (feat. Tyga & Kevin McCall),F.A.M.E. (Expanded Edition),Chris Brown,2011-03-22,276560,67,0.692,0.0324,0.692,0.736,0,0.0787,-5.109,0.11,73.987,4
Danza Kuduro (feat. Don Omar),Emigrante Del Mundo,Lucenzo,2011-09-30,213986,50,0.622,0.00713,0.622,0.942,0,0.0715,-6.365,0.112,130.003,4
Imma Be,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,2009-01-01,257560,62,0.597,0.179,0.597,0.517,0,0.307,-6.963,0.365,92.035,4
Find Your Love,Thank Me Later (Int'l Version),Drake,2010-01-01,208946,56,0.625,0.0209,0.625,0.613,0,0.0286,-6.005,0.173,96.033,4
Today Was A Fairytale,Today Was A Fairytale,Taylor Swift,2011-02-15,242480,54,0.491,0.0307,0.491,0.703,5.72E-06,0.167,-4.5,0.0319,157.988,4
This Ain't a Love Song,Ten Add Ten: The Very Best of Scouting For Girls,Scouting For Girls,2017-10-13,210680,45,0.458,0.000431,0.458,0.905,0,0.378,-4.157,0.0452,176.659,4
Stuck Like Glue,The Incredible Machine,Sugarland,2010-01-01,247586,63,0.702,0.329,0.702,0.795,0,0.0505,-4.764,0.0568,83.961,4
Not Afraid,Recovery,Eminem,2010-06-18,248133,77,0.855,0.529,0.855,0.954,0,0.205,-1.19,0.264,114.635,5
Empire State of Mind (Part II) Broken Down,The Element Of Freedom,Alicia Keys,2009-12-15,216480,72,0.479,0.739,0.479,0.368,4.10E-05,0.118,-7.784,0.0341,92.959,4
Say Aah (feat. Fabolous),Ready,Trey Songz,2009-08-31,207546,54,0.724,0.00453,0.724,0.87,0,0.833,-3.614,0.113,93.01,4
For the First Time,Science & Faith,The Script,2010-09-10,251843,65,0.393,0.0339,0.393,0.633,0,0.104,-4.769,0.0275,174.022,4
Seek Bromance - Avicii’s Vocal Edit,Seek Bromance,Tim Berg,2010-10-24,203960,0,0.515,0.0868,0.515,0.837,0,0.0403,-2.552,0.0401,126.026,4
Alejandro,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,274213,66,0.623,0.000397,0.623,0.793,0.0015,0.375,-6.63,0.0462,98.998,4
Whataya Want from Me,For Your Entertainment,Adam Lambert,2009,227320,54,0.438,0.0055,0.438,0.672,0,0.0583,-4.706,0.0429,185.934,4
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,2010-02-09,232506,48,0.544,0.014,0.544,0.781,0,0.161,-3.616,0.189,150.1,4
Blah Blah Blah (feat. 3OH!3),Animal (Expanded Edition),Kesha,2010-01-01,172053,60,0.752,0.0843,0.752,0.836,0.000425,0.424,-3.173,0.115,120.003,4
Kickstarts,Won't Go Quietly,Example,2010-06-18,181826,60,0.61,0.00374,0.61,0.836,0,0.358,-4.455,0.0573,126.059,4
Carry Out (Featuring Justin Timberlake),Shock Value II,Timbaland,2009-01-01,232466,64,0.531,0.114,0.531,0.574,0.0308,0.256,-6.693,0.113,115.68,5
Over,Thank Me Later (Int'l Version),Drake,2010-01-01,233560,59,0.325,0.0109,0.325,0.848,0,0.124,-5.611,0.279,100.093,5
Young Forever,The Blueprint 3,JAY-Z,2009-09-08,253906,64,0.637,0.417,0.637,0.69,0,0.211,-3.214,0.0693,140.329,4
Starstrukk,Teenage Dream,Katy Perry,2010-08-24,203093,50,0.605,0.00153,0.605,0.795,0,0.207,-6.086,0.0712,139.896,4
Live Like We're Dying,Kris Allen,Kris Allen,2009-11-16,212506,51,0.589,0.0273,0.589,0.893,0,0.343,-2.948,0.0397,92.011,4
Written in the Stars (feat. Eric Turner),Written in the Stars (feat. Eric Turner),Tinie Tempah,2010-09-03,207653,57,0.656,0.0613,0.656,0.931,0,0.219,-4.188,0.0981,91.881,4
Hey Daddy (Daddy's Home),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,224093,59,0.59,0.000176,0.59,0.698,0,0.107,-4.262,0.0286,95.975,4
When We Collide,Letters (Deluxe Edition),Matt Cardle,2011-01-09,226000,47,0.443,0.0198,0.443,0.683,5.26E-06,0.313,-5.521,0.0343,81.986,4
King of Anything,Kaleidoscope Heart,Sara Bareilles,2010-09-07,207493,60,0.676,0.461,0.676,0.762,0,0.0574,-4.172,0.0351,119.003,4
Need You Now,Need You Now,Lady A,2010-01-01,236440,71,0.581,0.0298,0.581,0.717,0.000186,0.243,-4.433,0.0318,107.884,4
The Time (Dirty Bit),The Beginning (Deluxe),Black Eyed Peas,2010-01-01,307640,69,0.816,0.0662,0.816,0.813,2.77E-06,0.602,-7.798,0.0664,127.979,4
My Chick Bad,Battle Of The Sexes (Deluxe),Ludacris,2010-01-01,216933,65,0.624,0.172,0.624,0.723,0,0.483,-6.782,0.378,84.789,4
Te Amo,Rated R,Rihanna,2009-11-20,208426,61,0.567,0.541,0.567,0.707,0.000176,0.1,-5.455,0.0818,171.917,4
Dancing On My Own,Body Talk pt. 1,Robyn,2010-06-11,288670,2,0.687,0.0743,0.687,0.865,0.225,0.0966,-4.663,0.0349,117.015,4
Half of My Heart,Battle Studies,John Mayer,2009-11-13,250373,63,0.681,0.435,0.681,0.593,0.000117,0.106,-9.327,0.0251,115.058,4
Pass Out,Disc-Overy,Tinie Tempah,2010,268053,54,0.693,0.0281,0.693,0.891,0,0.143,-3.261,0.296,91.1,4
Commander,Here I Am (Int'l Version),Kelly Rowland,2011-01-01,218106,55,0.395,0.0173,0.395,0.876,8.46E-06,0.362,-3.859,0.138,124.638,4
Starry Eyed,Bright Lights (Lights Re-pack / Bonus Version),Ellie Goulding,2010-01-01,176613,55,0.504,0.135,0.504,0.814,1.42E-05,0.324,-5.346,0.0389,149.967,4
Right Above It,I Am Not A Human Being,Lil Wayne,2010-01-01,271946,67,0.376,0.0435,0.376,0.841,0,0.578,-4.348,0.356,76.052,4
Beautiful Monster,Libra Scale,Ne-Yo,2010-01-01,251573,57,0.708,0.209,0.708,0.771,5.32E-06,0.277,-6.99,0.131,128.013,4
What You Know,Tourist History,Two Door Cinema Club,2010-02-07,189693,16,0.55,0.000665,0.55,0.753,7.74E-06,0.0921,-4.003,0.0407,139.048,4
Wavin' Flag,Troubadour,K'NAAN,2009,220520,53,0.625,0.13,0.625,0.699,0,0.238,-6.416,0.0729,75.974,4
Hard,Rated R,Rihanna,2009-11-20,250600,55,0.31,0.0121,0.31,0.746,0,0.649,-3.599,0.111,182.032,4
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Disc-Overy,Tinie Tempah,2010,206460,54,0.736,0.00237,0.736,0.929,1.11E-05,0.402,-5.89,0.0674,125.03,4
How Low,Battle Of The Sexes (Deluxe),Ludacris,2010-01-01,201586,61,0.785,0.00248,0.785,0.498,1.23E-06,0.224,-6.977,0.0533,143.96,4
Somebody That I Used To Know,Somebody That I Used To Know,Gotye,2011-01-01,244884,55,0.863,0.607,0.863,0.527,0.000168,0.107,-6.896,0.0358,129.054,4
Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,193400,77,0.783,0.0114,0.783,0.58,2.28E-06,0.108,-6.548,0.0408,120.021,4
We Are Young (feat. Janelle Monáe),Some Nights,fun.,2012-02-14,250626,74,0.378,0.02,0.378,0.638,7.66E-05,0.0849,-5.576,0.075,184.086,4
We Found Love,Talk That Talk,Rihanna,2011-11-19,215226,72,0.735,0.025,0.735,0.766,0.00138,0.108,-4.485,0.0383,127.985,4
Set Fire to the Rain,21,Adele,2011-01-19,242973,47,0.603,0.00408,0.603,0.67,1.66E-06,0.112,-3.882,0.0249,107.995,4
The One That Got Away,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,227333,74,0.687,0.000802,0.687,0.792,0,0.2,-4.023,0.0353,133.962,4
Royals,Pure Heroine,Lorde,2013-09-27,190185,74,0.674,0.121,0.674,0.428,0,0.132,-9.504,0.122,84.878,4
Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,231173,80,0.743,0.0188,0.743,0.752,0,0.287,-4.813,0.0414,110.015,4
What Makes You Beautiful,Up All Night,One Direction,2012-05-25,199986,81,0.726,0.009,0.726,0.787,0,0.0596,-2.494,0.0737,124.99,4
I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,62,0.622,0.00454,0.622,0.469,2.25E-06,0.0335,-6.798,0.0363,77.019,4
Starships,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),Nicki Minaj,2012-01-01,210626,74,0.747,0.135,0.747,0.716,0,0.251,-2.457,0.075,125.008,4
Glad You Came,Battleground (Deluxe Edition),The Wanted,2011-01-01,197935,73,0.722,0.0319,0.722,0.851,0,0.108,-3.873,0.0639,126.885,4
Die Young,Warrior (Expanded Edition),Kesha,2012-11-30,211920,75,0.711,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,4
Want U Back,Sticks & Stones,Cher Lloyd,2011-11-07,214013,66,0.696,0.0662,0.696,0.893,0,0.473,-2.963,0.076,97.954,4
Good Time,The Midsummer Station,Owl City,2012-01-01,205933,75,0.56,0.0239,0.56,0.872,6.98E-06,0.371,-4.269,0.14,126.05,4
Part Of Me,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,216160,71,0.678,0.000417,0.678,0.918,0,0.0744,-4.63,0.0355,130.028,4
Give Your Heart a Break,Unbroken,Demi Lovato,2011-01-01,205346,70,0.651,0.23,0.651,0.695,0,0.144,-3.218,0.0487,123.008,4
We Are Never Ever Getting Back Together,Red (Big Machine Radio Release Special),Taylor Swift,2012-10-22,193146,75,0.628,0.00957,0.628,0.676,2.65E-05,0.121,-5.911,0.0916,85.984,4
Live While We're Young,Take Me Home: Yearbook Edition,One Direction,2012-11-09,200186,8,0.658,0.0629,0.658,0.837,0,0.0969,-2.063,0.0543,126.015,4
Domino,Who You Are (Platinum Edition),Jessie J,2011-01-01,231840,72,0.758,0.0117,0.758,0.557,0,0.0418,-4.568,0.034,126.986,4
Troublemaker (feat. Flo Rida),Right Place Right Time,Olly Murs,2012-11-23,185586,1,0.762,0.015,0.762,0.863,0,0.125,-3.689,0.0565,106.008,4
Everybody Talks,Picture Show,Neon Trees,2012-01-01,177280,79,0.471,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961,4
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,80,0.726,0.049,0.726,0.698,0,0.309,-4.165,0.0431,143.994,4
Boyfriend,Believe (Deluxe Edition),Justin Bieber,2012-06-15,171333,62,0.717,0.0358,0.717,0.55,0.00198,0.126,-6.019,0.0519,96.979,4
Feel So Close - Radio Edit,18 Months,Calvin Harris,2012-10-29,206413,79,0.707,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,127.937,4
Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,88,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
How to Be a Heartbreaker,How to Be a Heartbreaker,MARINA,2012-09-26,221493,55,0.69,0.0142,0.69,0.897,0,0.108,-4.696,0.0506,140.05,4
Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,2011-10-24,221946,74,0.562,0.046,0.562,0.939,0,0.112,-4.282,0.0475,116.044,4
Little Things,Take Me Home: Yearbook Edition,One Direction,2012-11-09,219640,11,0.707,0.788,0.707,0.222,0,0.205,-11.716,0.0329,110.095,4
Wings,DNA: The Deluxe Edition,Little Mix,2012,219733,8,0.738,0.000673,0.738,0.875,0.000556,0.285,-3.141,0.127,114.962,4
Candy,Take The Crown (Deluxe Edition),Robbie Williams,2012-11-05,201053,71,0.715,0.0368,0.715,0.791,0,0.0694,-6.63,0.0414,116.043,4
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012-12-07,213826,82,0.612,0.932,0.612,0.28,0,0.088,-8.648,0.0434,72.795,4
Without You (feat. Usher),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,208133,68,0.608,0.227,0.608,0.614,4.06E-06,0.157,-3.727,0.0285,127.884,4
As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,2012-06-15,229466,68,0.571,0.0811,0.571,0.873,0,0.361,-3.382,0.1,139.691,4
A Thousand Years,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),Various Artists,2011-11-04,285120,67,0.421,0.309,0.421,0.407,0.000961,0.11,-7.445,0.0267,139.028,3
Hall of Fame (feat. will.i.am),#3 Deluxe Version,The Script,2012-09-10,202533,78,0.421,0.0653,0.421,0.873,0,0.123,-4.343,0.0565,84.803,4
Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),Ne-Yo,2012-01-01,251626,68,0.658,0.248,0.658,0.677,0,0.368,-6.628,0.0393,124.91,4
Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,245040,78,0.604,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,126.062,4
Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,2012-11-18,224920,75,0.482,0.135,0.482,0.706,0.00106,0.105,-5.762,0.0609,92.494,4
Impossible,James Arthur (Deluxe),James Arthur,2013-11-04,209440,77,0.376,0.141,0.376,0.696,0,0.11,-4.785,0.0949,169.515,4
Diamonds,Unapologetic (Deluxe),Rihanna,2012-12-11,225146,74,0.564,0.00125,0.564,0.71,0,0.109,-4.92,0.0461,91.972,4
Pound The Alarm,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj,2012-01-01,205640,64,0.728,0.0403,0.728,0.858,4.09E-06,0.0241,-3.686,0.0609,125.055,4
Whistle,Wild Ones,Flo Rida,2012-06-22,224653,76,0.747,0.0208,0.747,0.937,0,0.29,-5.746,0.0453,103.976,4
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,80,0.778,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
International Love (feat. Chris Brown),Planet Pit (Deluxe Version),Pitbull,2011-06-17,227280,73,0.67,0.0124,0.67,0.855,0,0.335,-3.035,0.0499,120.05,4
Brokenhearted,Hello,Karmin,2012-05-07,227146,62,0.765,0.00765,0.765,0.765,3.82E-06,0.0527,-2.732,0.0585,120.001,4
Where Have You Been,Talk That Talk,Rihanna,2011-11-19,242680,66,0.719,0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,4
It Will Rain,It Will Rain,Bruno Mars,2011-09-28,257720,71,0.576,0.337,0.576,0.835,0,0.082,-6.826,0.0486,150.017,4
Drive By,California 37,Train,2012-04-17,195973,74,0.765,0.00107,0.765,0.837,1.06E-05,0.0801,-3.113,0.032,122.028,4
Chasing The Sun,The Wanted (Special Edition),The Wanted,2012-01-01,198800,65,0.636,0.242,0.636,0.732,0,0.498,-6.209,0.0962,128.11,4
Demons,Night Visions,Imagine Dragons,2012-09-04,175200,71,0.505,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,89.938,4
Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,74,0.621,0.945,0.621,0.31,6.12E-05,0.117,-10.164,0.0283,111.893,4
Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012-06-22,232946,75,0.608,0.0991,0.608,0.86,0,0.262,-5.324,0.0554,127.075,4
All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,85,0.422,0.922,0.422,0.264,0,0.132,-7.064,0.0322,119.93,4
Primadonna,Electra Heart (Deluxe),MARINA,2012-04-30,221075,65,0.66,0.0884,0.66,0.689,0,0.0922,-2.671,0.0337,127.98,4
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,2012-10-09,258342,82,0.641,0.0291,0.641,0.922,0,0.0862,-4.457,0.0786,146.078,4
Paradise,Mylo Xyloto,Coldplay,2011-10-24,278719,78,0.449,0.0509,0.449,0.585,8.75E-05,0.0833,-6.761,0.0268,139.631,4
Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,2012-09-14,212862,76,0.612,0.112,0.612,0.84,0,0.116,-3.145,0.0509,129.042,4
One More Night,Overexposed Track By Track,Maroon 5,2012-01-01,219546,71,0.716,0.0558,0.716,0.821,0,0.0844,-3.435,0.0314,92.997,4
Let Her Go,All The Little Lights,Passenger,2012-11-05,252866,76,0.509,0.385,0.509,0.538,0,0.104,-7.335,0.0572,75.089,4
Wide Awake,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,220946,66,0.514,0.0749,0.514,0.683,2.64E-06,0.392,-5.099,0.0367,159.814,4
Not Over You,Sweeter,Gavin DeGraw,2011-09-16,218520,69,0.63,0.255,0.63,0.894,0,0.181,-4.592,0.0544,142.051,4
Try,The Truth About Love,P!nk,2012-09-18,247906,74,0.673,0.00141,0.673,0.629,0,0.0944,-7.072,0.0299,103.998,4
Some Nights,Some Nights,fun.,2012-02-21,277040,69,0.672,0.0178,0.672,0.738,6.75E-05,0.0927,-7.045,0.0506,107.938,4
She Doesn't Mind,Tomahawk Technique,Sean Paul,2012-01-24,227786,69,0.718,0.000624,0.718,0.776,5.30E-06,0.207,-5.208,0.0693,120.015,4
C'Mon,Warrior (Deluxe Version),Kesha,2012-11-30,214333,0,0.558,0.00657,0.558,0.781,0.00144,0.102,-5.448,0.0963,126.025,4
"Gone, Gone, Gone",The World From The Side Of The Moon,Phillip Phillips,2012-01-01,209693,60,0.664,0.129,0.664,0.642,0,0.114,-5.961,0.038,118.002,4
I Love It,Icona Pop,Icona Pop,2012-01-01,156773,45,0.71,0.00828,0.71,0.901,1.34E-05,0.172,-2.686,0.0296,125.953,4
Latch,Settle (Special Edition),Disclosure,2013-06-03,255631,68,0.503,0.0159,0.503,0.727,9.45E-05,0.0895,-5.456,0.167,121.985,4
Million Voices - Radio Edit,Million Voices,Otto Knows,2012-01-01,192866,0,0.582,0.0022,0.582,0.894,0.0223,0.0664,-6.298,0.041,125.946,4
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-11,207333,76,0.715,0.0525,0.715,0.655,0,0.115,-6.425,0.137,95.078,4
It's Time,Night Visions,Imagine Dragons,2012-09-04,240306,70,0.656,0.0162,0.656,0.884,0,0.144,-4.748,0.0372,105.009,4
Blow Me (One Last Kiss),The Truth About Love,P!nk,2012-09-18,255586,65,0.597,0.000145,0.597,0.919,0,0.282,-2.954,0.044,113.987,4
Battle Scars (feat. Lupe Fiasco),Armageddon,Guy Sebastian,2012-10-15,250080,1,0.61,0.186,0.61,0.863,0,0.097,-2.632,0.206,83.993,4
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,2012-04-13,240165,71,0.585,0.694,0.585,0.303,0,0.115,-10.058,0.0398,136.703,3
Scream,Looking 4 Myself (Expanded Edition),Usher,2012-06-12,234693,64,0.616,0.00117,0.616,0.862,0,0.179,-5.18,0.0973,127.992,4
Take Care,Take Care (Deluxe),Drake,2011-11-15,277386,71,0.629,0.0267,0.629,0.515,1.22E-05,0.0888,-10.358,0.265,121.845,4
On Top Of The World,Night Visions,Imagine Dragons,2012-09-04,192280,73,0.631,0.0841,0.631,0.924,3.59E-06,0.084,-5.589,0.146,100.045,4
Turn Me On (feat. Nicki Minaj),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,199680,64,0.704,0.0488,0.704,0.793,0,0.575,-2.266,0.0591,127.96,4
50 Ways to Say Goodbye,California 37,Train,2012-04-17,247946,65,0.591,0.000284,0.591,0.935,0.000278,0.142,-2.664,0.0478,140.043,4
Turn Up the Music,Fortune (Expanded Edition),Chris Brown,2012-07-03,227973,63,0.594,0.000238,0.594,0.841,2.22E-06,0.156,-5.792,0.102,129.925,4
How We Do (Party),ORA Deluxe,Rita Ora,2012-08-27,247026,48,0.738,0.0034,0.738,0.922,0,0.0986,-3.94,0.0833,116.024,4
Thrift Shop (feat. Wanz),The Heist (Deluxe Edition),Macklemore & Ryan Lewis,2012-10-09,235613,59,0.781,0.0619,0.781,0.526,0,0.0457,-6.985,0.293,94.992,4
Dance Again,Dance Again,Jennifer Lopez,2012-04-02,237266,0,0.797,0.0158,0.797,0.867,2.79E-06,0.0868,-5.242,0.0696,127.974,4
Beneath Your Beautiful (feat. Emeli Sandé),Electronic Earth (Expanded Edition),Labrinth,2012-04-02,271813,68,0.558,0.228,0.558,0.522,0,0.104,-5.857,0.036,83.977,4
Ass Back Home (feat. Neon Hitch),The Papercut Chronicles II,Gym Class Heroes,2011-11-11,222213,61,0.716,0.134,0.716,0.838,0,0.148,-4.289,0.0513,130.034,4
Lost,channel ORANGE (Explicit Version),Frank Ocean,2012-07-10,234093,72,0.913,0.0272,0.913,0.603,0.000503,0.167,-4.892,0.226,123.061,4
Lights - Single Version,Bright Lights (Lights Re-pack / Bonus Version),Ellie Goulding,2010-01-01,210853,64,0.682,0.0297,0.682,0.795,0.0391,0.131,-6.17,0.0367,120.008,4
Ho Hey,The Lumineers (Deluxe Edition),The Lumineers,2012,163133,73,0.682,0.765,0.682,0.471,0,0.0908,-9.182,0.0301,79.907,4
Good Feeling,Wild Ones,Flo Rida,2012-06-22,248133,74,0.706,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,128.011,4
Don't Wake Me Up,Fortune (Expanded Edition),Chris Brown,2012-07-03,222306,62,0.602,0.0548,0.602,0.691,0,0.144,-5.197,0.051,127.967,4
"Read All About It, Pt. III",Our Version Of Events (Special Edition),Emeli Sandé,2012-01-01,283706,67,0.63,0.822,0.63,0.44,3.87E-06,0.0926,-7.186,0.0249,98.082,4
Skyfall,Skyfall,Adele,2012-10-04,286480,73,0.346,0.417,0.346,0.552,0,0.114,-6.864,0.0282,75.881,4
Radioactive,Night Visions,Imagine Dragons,2012-09-04,186813,76,0.448,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,4
Princess of China,Mylo Xyloto,Coldplay,2011-10-24,239215,65,0.42,0.00385,0.42,0.69,0.015,0.287,-6.221,0.0347,85.014,4
